Symbol,Date,Closing_Price,Highest_Price,Lowest_Price,Num_Transactions,Open_Price,Volume,Average_Price
AIG,2023-01-09,63.87,64.875,63.77,32913,64.76,3013994.0,64.1344
AMT,2023-01-09,219.3,223.46,219.14,37654,220.85,1727437.0,221.0061
AWK,2023-01-09,158.44,161.27,157.41,15598,157.83,789679,159.1139
AMP,2023-01-09,321.22,326.11,320.56,10684,324.32,401240,322.6398
ABC,2023-01-09,164.97,167.72,164.94,24077,166.21,1323620.0,165.9205
AME,2023-01-09,142.5,146.42,141.825,18977,143.72,1011652.0,143.5818
AMGN,2023-01-09,270.12,275.58,268.66,48502,275.58,2160792.0,270.5237
APH,2023-01-09,79.12,80.42,78.64,26551,79.06,1972352.0,79.7076
ADI,2023-01-09,167.1,169.91,165.68,58919,167.39,3734105.0,167.7185
ANSS,2023-01-09,247.99,253.545,241.4,15076,241.97,425618,249.491
AON,2023-01-09,306.33,312.35,305.79,16082,308.23,709140,307.7638
AOS,2023-01-09,61.49,63.1,61.3,19507,61.55,1195890.0,61.9723
APA,2023-01-09,43.37,44.45,43.3,53954,44.06,5736971.0,43.6399
AAPL,2023-01-09,130.15,133.41,129.89,645365,130.465,70790813.0,131.6292
AMAT,2023-01-09,106.49,108.76,104.16,90959,105.55,6212259.0,107.0129
APTV,2023-01-09,97.98,100.03,97.29,27325,97.94,1570874.0,98.6184
ADM,2023-01-09,85.37,87.05,85.31,54013,86,3936106.0,85.8713
ANET,2023-01-09,114.87,117.33,113.7,28301,113.77,1811256.0,115.6496
AJG,2023-01-09,191.76,194.75,190.81,14017,192.56,805675,192.4385
AIZ,2023-01-09,125.11,128.365,125.08,10697,128.24,371253,126.2297
T,2023-01-09,19.04,19.24,18.98,114514,19.235,51981064.0,19.0845
ATO,2023-01-09,113.79,114.4527,112.24,15995,112.62,834840,113.8978
ADSK,2023-01-09,192.47,199.09,190.48,34583,190.52,1400843.0,194.647
ADP,2023-01-09,239.51,243.52,239.27,35619,241.12,1963555.0,240.7853
AZO,2023-01-09,2441.75,2500,2437.32,10192,2500,142253,2460.8691
AVB,2023-01-09,162.47,165.04,161.66,18379,163.19,1787280.0,163.6045
AVY,2023-01-09,189.48,192,187.98,8297,188.74,290493,189.9469
BKR,2023-01-09,30.54,31.1,30.31,54858,30.56,5574105.0,30.6709
BAC,2023-01-09,33.89,34.7601,33.71,154529,34.75,43818820.0,34.0814
BK,2023-01-09,48.14,48.75,47.98,38004,47.98,4021799.0,48.2908
BAX,2023-01-09,44.7,47.95,44.47,126609,47.6,13897340.0,45.2665
BDX,2023-01-09,252.45,259.95,252.3,27715,259.95,1337610.0,254.5326
BBY,2023-01-09,82.06,83.51,81.87,36078,83.31,1796534.0,82.4947
BIO,2023-01-09,425.99,431.6,422.1,7526,424.8,168400,425.8972
BIIB,2023-01-09,274.72,281.99,269.06,45162,280.54,1715870.0,275.5198
BLK,2023-01-09,752.99,762.81,741.75,35443,742.21,1102835.0,755.3825
BA,2023-01-09,208.57,213.88,207.91,117177,212.36,9005601.0,210.2451
BKNG,2023-01-09,2208.41,2222.52,2184.915,17687,2195,271645,2209.469
BWA,2023-01-09,42.24,43.14,42.15,26747,43,2371754.0,42.5774
BXP,2023-01-09,65.72,67.7,65.71,17763,66.98,1285060.0,66.4424
BSX,2023-01-09,45.59,46.47,45.57,47454,46.43,7688389.0,45.9781
BMY,2023-01-09,71.01,73.16,70.75,90192,73.12,13005108.0,71.4971
AVGO,2023-01-09,576.89,601.675,560.56,95934,592.3,3773874.0,583.3993
BR,2023-01-09,138.66,140.21,137.02,10592,137.45,535397,138.8539
BF.B,2023-01-09,64.69,66.22,64.47,20258,64.5,1258792.0,65.144
CHRW,2023-01-09,93.36,94.37,91.89,37798,93.39,1954795.0,93.2422
CDNS,2023-01-09,165.92,168.52,161.34,40876,161.34,1924860.0,165.9112
CPB,2023-01-09,55.95,57.24,55.93,23076,56.91,2300054.0,56.4416
COF,2023-01-09,97.45,99.43,96.5814,57739,97.84,4384127.0,98.0683
CAH,2023-01-09,77.57,79.11,77.47,29313,78.66,3070319.0,77.7821
KMX,2023-01-09,67.07,68.0709,66.01,37974,66.22,2666555.0,67.0657
CCL,2023-01-09,9.47,9.64,9.21,100978,9.26,44454520.0,9.4498
CARR,2023-01-09,43.5,44.205,42.98,35596,43.31,3384865.0,43.6426
CAT,2023-01-09,246.62,250.97,246,63839,249.01,3417307.0,248.3625
CBOE,2023-01-09,122.18,125.6275,122.12,15864,123.3,771285,123.1025
CBRE,2023-01-09,81.76,82.839,80.7975,26624,81.47,1805808.0,82.0419
CDW,2023-01-09,183.96,186.87,183.185,13945,183.8,567005,184.7009
CE,2023-01-09,116.8,119.46,115.63,29086,117.52,1587258.0,117.7947
CNC,2023-01-09,77.59,79.98,77.475,42817,78.89,4301927.0,78.3337
CNP,2023-01-09,30.47,30.875,29.88,25814,29.96,3574681.0,30.4925
CTLT,2023-01-09,48.18,49.06,47.87,31451,48.32,2777860.0,48.4271
CF,2023-01-09,86,86.53,84.02,43213,84.77,3717158.0,85.5735
SCHW,2023-01-09,85.43,86.63,84.84,70907,85,8036917.0,85.731
CHTR,2023-01-09,367.18,369.08,363.54,27489,365,1073518.0,366.6108
CVX,2023-01-09,175.18,178.3299,174.3806,113374,178.26,8385636.0,175.8863
CMG,2023-01-09,1446.74,1451.61,1414.01,19553,1415.59,361924,1442.3578
CB,2023-01-09,223.51,227.86,223.36,30533,226.6,1778543.0,225.0909
CHD,2023-01-09,82.25,83.7399,82.21,18609,83.33,1626110.0,82.6507
CI,2023-01-09,303.04,304.63,299.485,47782,302.75,2531486.0,302.69
CINF,2023-01-09,108.69,109.85,108.43,14133,109.74,621928,108.9535
CTAS,2023-01-09,441.31,448.005,439.04,12655,442.46,382322,442.3808
CSCO,2023-01-09,48.58,49.21,48.22,101436,48.255,13937950.0,48.7134
C,2023-01-09,47.54,48.32,47.465,91319,47.89,16745487.0,47.7655
CFG,2023-01-09,41.1,41.85,41.01,30442,41.66,2411412.0,41.2987
CLX,2023-01-09,142.66,145.1561,142.56,19467,144.14,915375,143.6414
CME,2023-01-09,175.8,178.67,174.85,43827,175.33,2177677.0,176.5655
CMS,2023-01-09,64.99,65.72,64.22,22005,64.33,1903254.0,65.1043
KO,2023-01-09,62.61,63.72,62.575,105745,63.3,9442623.0,63.0427
CTSH,2023-01-09,60.86,61.15,58.555,60576,58.57,6787334.0,60.6792
CL,2023-01-09,78.73,80.4,78.555,39333,79.96,2825954.0,79.2713
CMCSA,2023-01-09,37.55,38,37.42,120722,37.99,22849911.0,37.6241
CMA,2023-01-09,66.81,67.895,66.79,16484,67.73,1021540.0,67.1877
CAG,2023-01-09,40.42,41.3,40.39,45943,40.91,5333134.0,40.708
COP,2023-01-09,117.36,120.66,116.86,83143,120.32,5403382.0,118.2301
ED,2023-01-09,97.72,98.65,96.2926,23691,96.81,1471365.0,97.8525
STZ,2023-01-09,215.51,219.4,214.41,55161,214.66,3034922.0,217.1384
COO,2023-01-09,344.25,348.04,340.975,9594,347.54,371748,345.4045
CPRT,2023-01-09,31.22,31.8,31.11,25886,31.33,3547826.0,31.382
GLW,2023-01-09,35.42,35.755,35.28,44796,35.57,6845502.0,35.5142
